Name,Link,Wiki Summary
"Eberbach, Walter",https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=28014,No Wikipedia Entry Available for this artist
"Eby, Harold Kerr",https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=2486,No Wikipedia Entry Available for this artist
"Eby, Kerr",https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=2486,"Kerr Eby (1890–1946) was a Canadian illustrator best known for his renderings of soldiers in combat in the First and Second World Wars.  He is held in a similar regard to Harvey Dunn and the other famous illustrators dispatched by the government to cover the First World War.
Born in Tokyo, Japan to Canadian Methodist missionary parents in 1890, Kerr received formal art training at Pratt Institute and the Art Students League of New York.  Enlisting in the Army in 1917, Eby served in an ambulance crew and later as a camoufleur.  Although unable to acquire an artist's commission to cover the war, Eby created many memorable and haunting images of soldiers both in combat and living their daily lives on the front.
In the 1920s and 1930s, Eby continued to occasionally generate pieces related to his experience, and worked many of his early sketches into completed lithographs.  These images were eventually collected and distributed in the book WAR, which remains in the collection of many libraries today.  Notable images in this collection include a haunting drawing of marines retreating across the countryside beneath a menacing black cloud.  In 1930. he was elected into the National Academy of Design as an Associate member, and became a full Academician in 1934.
As the United States returned to war in 1941, Eby attempted to reenlist but was denied because of his age.  He found service instead in the combat artists program created by Abbott Laboratories to cover the war.  Eby operated primarily in the Pacific during World War II, where he landed with the Marines on Tarawa and Guadalcanal.  He created many of his strongest works, and put his life on the line to capture the experiences he shared with those soldiers.
Eby contracted a tropical disease while covering the war in Bougainville, and would die at his home in Norwalk, Connecticut in 1946.  He left behind a great body of completed work and much that was still in progress.  These drawings, prints and paintings serve as both historical record and primary documentation of the American experience of war in the 20th century."
"Eckart, Johann Georg",https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=4014,No Wikipedia Entry Available for this artist
"Eckenbrecher, Karl Paul Themistocles von",https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=2487,"Oswald Achenbach (German: [ˈɔsvalt ˈʔaxn̩bax]; 2 February 1827 – 1 February 1905) was a German painter associated with the Düsseldorf school of painting.  Though little known today, during his lifetime he was counted among the most important landscape painters of Europe. Through his teaching activities, he influenced the Kunstakademie Düsseldorf.  His brother, Andreas Achenbach, who was twelve years older, was also among the most important German landscape painters of the 19th century.  The two brothers were humorously called ""the A and O of Landscapes"" (a reference to their initials matching a common German reference to the Alpha and Omega)."
"Eckenbrecher, Themistocles von",https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=2487,No Wikipedia Entry Available for this artist
"Eckersberg, Christoffer Wilhelm",https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=13623,No Wikipedia Entry Available for this artist
"Eckford, Jessie Jo",https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=33385,No Wikipedia Entry Available for this artist
"Eckman, Edouard",https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=5643,No Wikipedia Entry Available for this artist
"Ecman, Edouard",https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=5643,No Wikipedia Entry Available for this artist
"Eddins, Homer",https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=33386,No Wikipedia Entry Available for this artist
"Eddleman, Brian",https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=17579,No Wikipedia Entry Available for this artist
"Edelfelt, Albert",https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=4015,"Albert Gustaf Aristides Edelfelt (21 July 1854 – 18 August 1905) was a Finnish painter. He lived in the Grand Duchy of Finland and made Finnish culture visible abroad, before Finland gained full independence."
"Edelfelt, Albert Gustaf Aristides",https://web.archive.org/web/20121007172912/http://www.nga.gov/cgi-bin/tsearch?artistid=4015,"Albert Gustaf Aristides Edelfelt (21 July 1854 – 18 August 1905) was a Finnish painter. He lived in the Grand Duchy of Finland and made Finnish culture visible abroad, before Finland gained full independence."
"Faber, David",https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=29971,No Wikipedia Entry Available for this artist
"Faber, Johann Joachim",https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=14182,"Johann Faber (1478 – May 21, 1541) was a Catholic theologian known for his writings opposing the Protestant Reformation and the growing Anabaptist movement."
"Faber, Karl Gottfried Traugott",https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=28714,"Karl Peter Andreas Faber (12 August 1773 – 19 January 1853) was a Prussian archivist and historian.
A native of Königsberg, East Prussia, Faber became chief archivist of the Prussian State Archive in 1808 after attending the University of Königsberg. Faber and Ernst Hennig were the first of Königsberg's archivists to approach the subject in a scientific manner. Faber made public letters from Martin Luther to Albert, Duke of Prussia in 1811. Works by Faber include his Taschenbuch für Königsberg in 1829 and Die Haupt- und Residenzstadt Königsberg in 1841. He also briefly produced a newspaper, Königsberger Abendzeitung, in 1831 and received an honorary doctorate from the philosophy faculty in 1837. Faber died in his native city."
"Faber II, John",https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4047,No Wikipedia Entry Available for this artist
"Fabilli, Mary",https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=27180,No Wikipedia Entry Available for this artist
"Fabri, Ralph",https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4048,"Simon Dinnerstein (born February 16, 1943) is an American artist best known for The Fulbright Triptych.

"
"Fabriano, Gentile da",https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=1331,"Gentile da Fabriano (c. 1370 – 1427) was an Italian painter known for his participation in the International Gothic painter style. He worked in various places in central Italy, mostly in Tuscany. His best-known works are his Adoration of the Magi from the Strozzi Altarpiece, (1423) and the Flight into Egypt."
"Fabritius, Carel",https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=6892,"Carel Pietersz. Fabritius (Dutch pronunciation: [ˈkaːrəl ˈpitərs faːˈbritsijɵs]; bapt. 27 February 1622 – 12 October 1654) was a Dutch painter. He was a pupil of Rembrandt and worked in his studio in Amsterdam. Fabritius, who was a member of the Delft School, developed his own artistic style and experimented with perspective and lighting. Among his works are A View of Delft (1652), The Goldfinch (1654), and The Sentry (1654)."
"Fabronius, Dominique C.",https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=34923,No Wikipedia Entry Available for this artist
"Faccini, Pietro",https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4049,"Pietro Faccini or Facini (1562–1602), was an Italian painter, active near his birthplace of Bologna in styles bridging Mannerism and the nascent Baroque. 
According to Malvasia, the main biographer of the early Bolognese Baroque, he apprenticed in his twenties with Ludovico and Annibale Carracci. His style departs from the linear ""Roman"" quality assumed by his mentor, and has a more sparkling quality, influenced by Tintoretto, Correggio, and Bassano. His documented painterly output consists of about a dozen works. In 1590, he painted the Martyrdom of Saint Lawrence, now found in the church of San Giovanni in Monte (Bologna). He completed altarpieces for San Domenico and Santa Maria dei Servi in 1593-1594 and  a Presepio in the Pinacoteca of Bologna. 
Annibale Castelli, Agostino Masucci, Domenico Maria Mirandola, and Giovanni Maria Tamburini were among his pupils."
"Faed, John",https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=5645,"John Faed, R.S.A. (31 August 1819 – 22 October 1902) was a Scottish painter."
Faentine 16th Century,https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=9908,No Wikipedia Entry Available for this artist
"Faes, Pieter van der",https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=1477,Pieter Faes (14 July 1750 – 22 December 1814) was a Flemish painter of still lifes and flower pieces.
"Fagan, James",https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=33404,"James Fagan (born 1972) is a folk musician from Sydney, Australia. He is a singer and multi-instrumentalist specialising in the Irish bouzouki.
Born in Australia in 1972, James was the first child of Sydney-based folk singers Bob and Margaret Fagan. They, James and his sister Kate formed The Fagans, and have toured the Australian folk scene since the early 1980s. James’s first instrument was piano. By his teens, he was singing, playing guitar, and playing the clarinet. In 1994, he joined Alistair Hulett's band The Hooligans which included Jimmy Gregory who introduced him to the guitar-shaped bouzouki which is now his main instrument. Singing remains his first and foremost musical love.
He completed his medical training in 1995 and was on holiday in England when he met Nancy Kerr. They formed the duo which has become the mainstay of their career. James is well respected in his own right on the UK music scene – his other projects include being a member of The Cara Dillon Band, Melrose Quartet (with Nancy Kerr, Richard Arrowsmith and Jess Arrowsmith) and heavy metal English Ceilidh band The Glorystrokes. He has also toured as part of Bellowhead. James also works in a duo called The James Brothers, with Jamie McClennan, the New Zealand fiddle player and partner of Scottish folk singer Emily Smith.
Fagan is best known for his work with Nancy Kerr whom he married in 2007, and with whom he won BBC Radio 2 Folk Awards 'Best Duo' in both 2003 and 2011. Together they have released six albums: Starry Gazy Pie (1997), Scalene (with Sandra Kerr) (1998), Steely Water (1999), Between The Dark and Light (2002), Strands of Gold (2006), and Twice Reflected Sun (2010).
In 2008 Nancy and James were joined by concertina player Robert Harbron to form the trio ""Kerr Fagan Harbron"", recording and touring the album Station House.
In 2010 Nancy and James formed Melrose Quartet with Sheffield duo Richard and Jess Arrowsmith. Melrose Quartet was nominated for Best Group at the BBC Radio 2 Folk Awards 2014.
Fagan is part of his wife Nancy Kerr's Sweet Visitor Band, playing on the CDs Sweet Visitor (2014) and Instar (2016).
Since 2014 Fagan has been a regular presenter on his local community radio station Sheffield Live hosting the two hour Friday morning  folk show Thank Goodness it's folk."
"Fahlstrom, Oyvind",https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4053,Öyvind Axel Christian Fahlström (1928–1976) was a Swedish Multimedia artist.
"Faigin, Samuel",https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=7489,No Wikipedia Entry Available for this artist
"Fairbanks, George",https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=7490,No Wikipedia Entry Available for this artist
"Fairbanks, Semantha",https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=2495,No Wikipedia Entry Available for this artist
"Fairchild, Elizabeth",https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=7491,No Wikipedia Entry Available for this artist
"Fairclough, Wilfred",https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4054,"Wilfred Fairclough (1907 – 1996) was an English artist, engraver and printmaker."
"Fairland, William",https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=6092,No Wikipedia Entry Available for this artist
"Faithorne, William",https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4055,"William Faithorne, often ""the Elder"" (1616 – 13 May 1691), was an English painter and engraver."
"Faithorne, William I",https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4055,"William Faithorne, often ""the Elder"" (1616 – 13 May 1691), was an English painter and engraver."
"Faithorne the Elder, William",https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4055,No Wikipedia Entry Available for this artist
"Falcieri, Biagio",https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=6820,"Biagio Falcieri (1628–1703) was an Italian painter of the Baroque era, although his provincial style has been described as a tired mannerism, active between Venice and Verona. Originally from the region of Trento. He studied with Pietro Liberi in Venice and returned to Verona. He painted a canvas about the Council of Trent behind the facade of the church of Sant'Anastasia, Verona. He trained Andrea Voltolino, Alessandro Marchesini, Lorenzo Comendu, and Santi Prunati."
"Falcini, Domenico",https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=23452,"Domenico Falcini (1575-c.1632) was a Flemish Renaissance painter and engraver.Not much is known about Falcini's life except through his works. He primarily painted religious-themed works for church commissions. One work based on an engraving by Falcini The Judgement of Christ, with Nineteen Shields (copy in Uffizi, Florence) is part of the National Inventory of Continental European Paintings collection. It is documented that Falcini applied to the grand-ducal administration in Florence for the privilege of engraving a new single sheet version (the original was three sheets) in 1618."
"Falck, Jeremias",https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4056,"Jeremias Falck (also Jeremiah Falck in English, Jeremiasz Falck in Polish) (1610–1677) was an engraver of the 17th century Baroque, born and active in the Polish–Lithuanian Commonwealth. He signed most of his over 300 works as J. Falck, sculp., a few works as Suec ( when working in Sweden and a few as Falck Polonus (Falck the Pole) or Falck Gedanensis (Falck of Gdańsk)."
"Falcone, Aniello",https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=4057,"Aniello Falcone (15 November 1600 – 1656) was an Italian Baroque painter, active in Naples and noted for his painted depictions of battle scenes. Some sources refer to him as Ancillo Falcone."
"Falconer, John Mackie",https://web.archive.org/web/20121007173054/http://www.nga.gov/cgi-bin/tsearch?artistid=33405,No Wikipedia Entry Available for this artist
"G., O.",https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=6894,No Wikipedia Entry Available for this artist
"Gabbiani, Anton Domenico",https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=5944,No Wikipedia Entry Available for this artist
"Gabbuggiani, Baldassare",https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=4149,No Wikipedia Entry Available for this artist
"Gabo, Naum",https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=6880,"Naum Gabo, born Naum Neemia Pevsner (5 August [O.S. 24 July] 1890 – 23 August 1977) (Hebrew: נחום נחמיה פבזנר), was an influential sculptor, theorist, and key figure in Russia's post-Revolution avant-garde and the subsequent development of twentieth-century sculpture. His work combined geometric abstraction with a dynamic organization of form in small reliefs and constructions, monumental public sculpture and pioneering kinetic works that assimilated new materials such as nylon, wire, lucite and semi-transparent materials, glass and metal. Responding to the scientific and political revolutions of his age, Gabo led an eventful and peripatetic life, moving to Berlin, Paris, Oslo, Moscow, London, and finally the United States, and within the circles of the major avant-garde movements of the day, including Cubism, Futurism, Constructivism, the Bauhaus, de Stijl and the Abstraction-Création group. Two preoccupations, unique to Gabo, were his interest in representing negative space—""released from any closed volume"" or mass—and time. He famously explored the former idea in his Linear Construction works (1942-1971)—used nylon filament to create voids or interior spaces as ""concrete"" as the elements of solid mass—and the latter in his pioneering work, Kinetic Sculpture (Standing Waves) (1920), often considered the first kinetic work of art.Gabo elaborated many of his ideas in the Constructivist Realistic Manifesto, which he issued with his brother, sculptor Antoine Pevsner as a handbill accompanying their 1920 open-air exhibition in Moscow. In it, he sought to move past Cubism and Futurism, renouncing what he saw as the static, decorative use of color, line, volume and solid mass in favor of a new element he called ""the kinetic rhythms (…) the basic forms of our perception of real time."" Gabo held a utopian belief in the power of sculpture—specifically abstract, Constructivist sculpture—to express human experience and spirituality in tune with modernity, social progress, and advances in science and technology. After working on a smaller scale in England during the war years (1936-1946), Gabo moved to the United States, where he received several public sculpture commissions, only some of which he completed. These include Constructie, an 81-foot commemorative monument in front of the Bijenkorf Department Store (1954, unveiled in 1957) in Rotterdam, and Revolving Torsion, a large fountain outside St Thomas Hospital in London. The Tate Gallery, London held a major retrospective of Gabo's work in 1966 and holds many key works in its collection, as do the Museum of Modern Art and Guggenheim Museum in New York. Work by Gabo is also included at Rockefeller Center in New York City and The Governor Nelson A. Rockefeller Empire State Plaza Art Collection in Albany, NY."
"Gabriel, Ada Vorhaus",https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=33454,No Wikipedia Entry Available for this artist
"Gabriel, Joseph Marie Justin",https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=4150,No Wikipedia Entry Available for this artist
"Gabriel, Justin-J.",https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=4150,No Wikipedia Entry Available for this artist
Gabriel Jacques de Saint-Aubin,https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=2728,"Jacques Gabriel (1667–1742) was a French architect, the father of the famous Ange-Jacques Gabriel.
Michelle Jacques Gabriel, is a designer, painter, architect and architect of the 17th and 18th centuries. He was one of the most prominent designers of the Versailless Palace in his lifetime. For his unique creativity and selflessness, he has always been attended by Louis XIV And eventually he became a trusted advisor to the king. He made important contributions to the king during his years of service, which is one of the most important works in the construction of the Versailles palace, which once served as the lobby of the fourteenth.
Michel had a mission to build the Versailles Palace throughout his life, he was also the first designer of the city's bridges in Paris. Interestingly, Gabriel's son (Ange Jacob Gabriel) continued his father's journey, and in this regard, like his father, completing the Versailles palace at the time of Louis 14 It has 15 significant roles. The Gabriel family is also home to the Cathedral of La Rochelle, the Royal Opera Royal Opera House and the Petit Trianon Palace, built on the palace of Versailles."
"Gabriel V, Jacques",https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=12015,No Wikipedia Entry Available for this artist
"Gaci, Ludovico",https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=4664,No Wikipedia Entry Available for this artist
"Gacis, Ludovico",https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=4664,No Wikipedia Entry Available for this artist
"Gaddi, Agnolo",https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=1327,"Agnolo Gaddi (c.1350–1396) was an Italian painter. He was born and died in Florence, and was the son of the painter Taddeo Gaddi.
Taddeo Gaddi was himself the major pupil of the Florentine master Giotto. Agnolo was an influential and prolific artist who was the last major Florentine painter stylistically descended from Giotto. Among his pupils was the author of an art treatise, Cennino Cennini.

"
"Gaertner, Eduard",https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=1328,"Johann Philipp Eduard Gaertner (2 June 1801, Berlin - 22 February 1877, Flecken Zechlin, in Rheinsberg) was a German painter who specialized in depictions of urban architecture."
"Gaertner, Johann Philipp Eduard",https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=1328,No Wikipedia Entry Available for this artist
"Gaethke, George",https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=33455,No Wikipedia Entry Available for this artist
"Gäfgen, Wolfgang",https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=26435,No Wikipedia Entry Available for this artist
"Gag, Wanda",https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=4151,No Wikipedia Entry Available for this artist
"Gág, Wanda",https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=4151,"Wanda Hazel Gág  (March 11, 1893–June 27, 1946) was an American artist, author, translator, and illustrator. She is best known for writing and illustrating the children's book Millions of Cats, the oldest American picture book still in print. Gág was also a noted printmaker, receiving international recognition and awards. Growing Pains, a book of excerpts from the diaries of her teen and young adult years, received critical acclaim. Her books were awarded Newbery Honors and Caldecott Honors."
"Ga'g, Wanda",https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=4151,No Wikipedia Entry Available for this artist
"Gage, D.",https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=4152,No Wikipedia Entry Available for this artist
"Gaggini, Domenico",https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=2115,No Wikipedia Entry Available for this artist
"Gagini, Domenico",https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=2115,"Domenico Gagini (Bissone, c. 1425–30 - Palermo, 29–30 September 1492) was a Swiss-Italian sculptor who was active in Northern as well as Southern Italy."
"Gagliardi, Filippo",https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=19743,"Filippo Gagliardi (born c. 1606, died 1659) was an Italian painter of the Baroque period, active mainly in Rome. He collaborated with Filippo Lauri,  Andrea Sacchi and Giovanni Benedetto Castiglione. He also helped in the renovation of San Martino ai Monti (1647–54). He contributed illustrated architectural perspectives to Ferrari's Hesperides (1646). He was a member of the Accademia di San Luca from at least 1638 and became principe in 1656–58. He was also a member of the Congregazione dei Virtuosi del Pantheon. He produced numerous architectural paintings showing grand structures in strong chiaroscuro, including a set of four in the Palazzo Rospigliosi-Pallavicini in Rome, with figure by the Genoese painter Giovanni Benedetto Castiglione, and two in the Musée de Peinture e de Sculpture, Grenoble (inv. MG767, 768). He was also known as 'Filippo delle Prospettive'. His works are sometimes confused with those by Viviano Codazzi. He also appears to confused with Giovanni Francesco Gagliardi."
"Gagliardo, Bartolommeo",https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=27850,No Wikipedia Entry Available for this artist
"Gagneraux, Baptiste",https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=14857,No Wikipedia Entry Available for this artist
"Gaillard, Claude-Ferdinand",https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=4154,No Wikipedia Entry Available for this artist
"Gaillard, Ferdinand",https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=4154,No Wikipedia Entry Available for this artist
"Gaillard, René",https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=4155,No Wikipedia Entry Available for this artist
"Gaillard, Robert (?)",https://web.archive.org/web/20121007173024/http://www.nga.gov/cgi-bin/tsearch?artistid=4155,Robert Gaillard (1868–1941) was an American stage and film actor. He also directed a number of films during the silent era.
"H., J.",https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=1366,No Wikipedia Entry Available for this artist
"Haacke, Hans",https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=19096,"Hans Haacke (born August 12, 1936) is a German-born artist who currently lives and works in New York.

"
"Haacke, Hans Christoph",https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=19096,"Hans Haacke (born August 12, 1936) is a German-born artist who currently lives and works in New York.

"
"Haag, Carl",https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=25170,Carl Haag (20 April 1820 – 24 January 1915) was a Bavarian-born painter who became a naturalized British subject and was court painter to the duke of Saxe-Coburg and Gotha.
"Haagen, Joris van der",https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=28658,No Wikipedia Entry Available for this artist
"Haake, Hans",https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=6901,"Hans Haacke (born August 12, 1936) is a German-born artist who currently lives and works in New York.

"
"Haár, Ferenc",https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=28078,No Wikipedia Entry Available for this artist
"Haar, Francis",https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=28078,Francis Haar born as Haár Ferenc (19 July 1908 – 22 December 1997) was a Hungarian socio-photographer. He studied interior architecture at Hungarian Royal National School of Arts and Crafts between 1924 and 1927. His master was Gyula Kaesz.
"Haas, Hildegarde",https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=33510,No Wikipedia Entry Available for this artist
"Haas, H.P.",https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=15172,No Wikipedia Entry Available for this artist
"Haas, Richard John",https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=4278,"Richard John Haas (born August 29, 1936) is an American muralist who is best known for architectural murals and his use of the trompe l'oeil style."
"Haasen, Paul",https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=17779,No Wikipedia Entry Available for this artist
"Haasen, Raymond",https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=12370,No Wikipedia Entry Available for this artist
"Haass, Terry",https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=2552,No Wikipedia Entry Available for this artist
"Haberer, Charles Winston",https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=5807,No Wikipedia Entry Available for this artist
"Haberle, John",https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=22811,"John Haberle (1856–1933) was a 19th-century American painter in the trompe l'oeil (literally, ""fool the eye"") style. His still lifes of ordinary objects are painted in such a way that the painting can be mistaken for the objects themselves. He is considered one of the three major figures—together with William Harnett and John F. Peto—practicing this form of still life painting in the United States in the last quarter of the 19th century."
"Hackaert, Jan",https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=4279,Jan Hackaert (1628–1685) was a Dutch Golden Age painter.
"Hackaert, Joan",https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=4279,No Wikipedia Entry Available for this artist
"Hackney, Malcolm",https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=7610,No Wikipedia Entry Available for this artist
"Hadcock, R. Neville",https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=4280,No Wikipedia Entry Available for this artist
"Haddoca, A.",https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=1367,No Wikipedia Entry Available for this artist
Haddock,https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=1367,"The haddock (Melanogrammus aeglefinus) is a saltwater fish from the family Gadidae, the true cods, it is the only species in the monotypic genus Melanogrammus. It is found in the North Atlantic Ocean and associated seas where it is an important species for fisheries, especially in northern Europe. It is also an important food fish and it is marketed fresh, frozen and smoked; smoked varieties include the Finnan haddie and the Arbroath smokie.

"
"Haddock, A.",https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=1367,No Wikipedia Entry Available for this artist
"Haden, Francis Seymour",https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=2553,No Wikipedia Entry Available for this artist
"Haden, Francis Seymour Sir",https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=2553,No Wikipedia Entry Available for this artist
"Haden, Seymour",https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=2553,No Wikipedia Entry Available for this artist
"Hadgadya, Miriam (Marussia)",https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=33511,No Wikipedia Entry Available for this artist
"Hadley, Shirley Thomson",https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=4281,No Wikipedia Entry Available for this artist
"Haecht, Tobias van",https://web.archive.org/web/20121007173111/http://www.nga.gov/cgi-bin/tsearch?artistid=2791,No Wikipedia Entry Available for this artist
"Iacovleff, Alexandre",https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=12041,"Alexandre Yevgenievich Jacovleff (also spelt Iacovleff or Yakovlev, Russian: Александр Евгеньевич Яковлев; 25 June [O.S. 13 June] 1887 – 12 May 1938) was a Russian neoclassicist painter, draughtsman, designer and etcher."
"Iams, J. Howard",https://web.archive.org/web/20121007172931/http://www.nga.gov/cgi-bin/tsearch?artistid=7671,No Wikipedia Entry Available for this artist
